timestamp_utc,upwelling_predicted,net_wind_hours,details
2026-09-11 07:53,Nein,0,Ausgeschlossen (Küstenvorgeschichte unzureichend: Nur 0/6h aktiv)
2026-09-11 08:48,Nein,0,"Ausgeschlossen (Küstenvorgeschichte unzureichend: Nur 0/6h aktiv)"
2026-09-11 08:54,Nein,0,"Ausgeschlossen (Küstenvorgeschichte unzureichend: Nur 0/6h aktiv)"
2026-09-11 09:23,Nein,0,"Ausgeschlossen (Küstenvorgeschichte unzureichend: Nur 0/6h aktiv)"
2026-09-11 09:28,Nein,0,"Ausgeschlossen (Küstenvorgeschichte unzureichend: Nur 0/6h aktiv)"
2026-09-11 09:44,Nein,0,"Ausgeschlossen (Küstenvorgeschichte unzureichend: Nur 0/6h aktiv)"
2026-09-11 10:39,Nein,0,"Ausgeschlossen (Küstenvorgeschichte unzureichend: Nur 0/6h aktiv)"
2026-09-11 16:23,Nein,0,"Ausgeschlossen (Küstenvorgeschichte unzureichend: Nur 0/6h aktiv)"
2026-09-11 18:38,Nein,0,"Ausgeschlossen (Küstenvorgeschichte unzureichend: Nur 0/6h aktiv)"
2026-09-11 23:20,Nein,0,"Ausgeschlossen (Küstenvorgeschichte unzureichend: Nur 0/6h aktiv)"
2026-09-12 08:02,Nein,0,"Ausgeschlossen (Küstenvorgeschichte unzureichend: Nur 0/6h aktiv)"
2026-09-12 12:55,Nein,0,"Ausgeschlossen (Küstenvorgeschichte unzureichend: Nur 0/6h aktiv)"
2026-09-12 17:46,Nein,0,"Ausgeschlossen (Küstenvorgeschichte unzureichend: Nur 0/6h aktiv)"
2026-09-12 23:04,Nein,0,"Ausgeschlossen (Küstenvorgeschichte unzureichend: Nur 0/6h aktiv)"
2026-09-13 08:24,Nein,0,"Ausgeschlossen (Küstenvorgeschichte unzureichend: Nur 0/6h aktiv)"
2026-09-13 13:50,Nein,0,"Ausgeschlossen (Küstenvorgeschichte unzureichend: Nur 0/6h aktiv)"
2026-09-13 18:14,Nein,0,"Ausgeschlossen (Küstenvorgeschichte unzureichend: Nur 0/6h aktiv)"
2026-09-13 23:13,Nein,0,"Ausgeschlossen (Küstenvorgeschichte unzureichend: Nur 0/6h aktiv)"
