timestamp_utc,Dranske,Eckernförde,Flensburg,Graal-Müritz,Greifswald,Heiligenhafen,Heringsdorf,Kiel,Kühlungsborn,Maasholm,Sassnitz,Travemünde,Warnemünde,Wismar,Zingst
2026-09-11 08:54,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein
2026-09-11 09:23,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein
2026-09-11 09:28,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein
2026-09-11 09:44,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein
2026-09-11 10:39,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein
2026-09-11 16:23,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein
2026-09-11 18:38,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein
2026-09-11 23:20,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein
2026-09-12 08:02,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein
2026-09-12 12:55,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein
2026-09-12 17:46,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein
2026-09-12 23:04,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein
2026-09-13 08:24,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein
2026-09-13 13:50,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein
2026-09-13 18:14,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein
2026-09-13 21:00,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein
2026-09-14 03:00,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein
2026-09-14 03:00,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein
2026-09-14 03:00,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein
2026-09-14 09:00,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein
2026-09-14 09:00,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein
2026-09-14 09:00,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein
2026-09-14 09:00,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein
2026-09-14 09:00,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein,Nein
